phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 1,2,5.4212,11.5,87.0,37.0,73.0,83.4,58.1,119.9,47.8,137.1,19.2,11.0,181.1,21.0,0.0,1.1,61.1,123.4,0.3,382.2,1.0,0.73,0.96,0.98,0.97,0.22,0.53,0.83,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1066327562.23,4345547.12,6288850.77,6288850.77,150203.81,269799.01,,-5868850.77,269796.19,0.859400,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[11.5,87.0],[37.0,73.0],[83.4,58.1],[119.9,47.8],[137.1,19.2]]","[[1.1,61.1],[123.4,0.3],[382.2,1.0]]","[[0.0,1.0],[13.706,1.0],[13.706,1.0],[68.532,1.0],[68.532,1.0],[123.357,1.0],[123.357,1.0],[137.063,1.0],[1000000000.0,1.0]]","[[0.0,0.729],[39.56,0.729],[39.56,0.963],[95.878,0.963],[95.878,0.984],[150.246,0.984],[150.246,0.967],[181.077,0.967],[182.077,0.0]]",SUBORBIT
Phase 1,3,6.4306,0.0,88.9,43.4,70.2,73.4,53.4,119.9,40.9,129.1,17.3,0.3,687.6,0.1,0.0,1.2,74.7,167.9,0.9,411.0,5.5,1.00,1.00,0.96,0.87,0.12,0.52,0.90,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1018676044.23,5807314.15,1000000000.00,0.00,0.00,509665.53,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.0,88.9],[43.4,70.2],[73.4,53.4],[119.9,40.9],[129.1,17.3]]","[[1.2,74.7],[167.9,0.9],[411.0,5.5]]","[[0.0,1.0],[12.913,1.0],[12.913,1.0],[64.563,1.0],[64.563,1.0],[116.214,1.0],[116.214,1.0],[129.126,1.0],[1000000000.0,1.0]]","[[0.0,0.999],[83.041,0.999],[83.041,1.0],[359.938,1.0],[359.938,0.96],[615.976,0.96],[615.976,0.875],[687.607,0.875],[688.607,0.0]]",ESCAPE
Phase 1,5,5.2860,0.0,89.7,52.2,68.6,88.4,52.1,111.2,32.1,135.5,29.8,0.7,670.5,5.9,0.0,16.2,52.8,392.7,1.0,434.5,0.4,0.99,0.90,0.81,0.95,0.05,0.62,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1016329890.36,5674864.32,1000000000.00,0.00,0.00,678999.77,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.0,89.7],[52.2,68.6],[88.4,52.1],[111.2,32.1],[135.5,29.8]]","[[16.2,52.8],[392.7,1.0],[434.5,0.4]]","[[0.0,1.0],[13.553,1.0],[13.553,1.0],[67.763,1.0],[67.763,1.0],[121.973,1.0],[121.973,1.0],[135.526,1.0],[1000000000.0,1.0]]","[[0.0,0.989],[34.235,0.989],[34.235,0.9],[417.485,0.9],[417.485,0.807],[630.825,0.807],[630.825,0.948],[670.52,0.948],[671.52,0.0]]",ESCAPE
Phase 1,6,6.0294,7.3,89.9,30.5,82.7,87.9,51.6,118.1,40.3,146.0,19.4,5.6,568.7,0.0,0.0,0.4,57.1,160.1,2.2,391.0,1.3,0.73,0.98,0.99,0.94,0.15,0.61,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1084925162.90,5805896.88,1000000000.00,0.00,0.00,339770.28,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.3,89.9],[30.5,82.7],[87.9,51.6],[118.1,40.3],[146.0,19.4]]","[[0.4,57.1],[160.1,2.2],[391.0,1.3]]","[[0.0,1.0],[14.601,1.0],[14.601,1.0],[73.007,1.0],[73.007,1.0],[131.413,1.0],[131.413,1.0],[146.014,1.0],[1000000000.0,1.0]]","[[0.0,0.733],[85.844,0.733],[85.844,0.981],[349.453,0.981],[349.453,0.99],[535.848,0.99],[535.848,0.937],[568.702,0.937],[569.702,0.0]]",ESCAPE
Phase 1,1,5.5291,0.1,90.0,37.2,77.1,83.4,59.6,118.5,39.2,127.5,19.0,4.1,508.3,7.2,0.0,4.1,53.5,55.0,4.3,469.3,2.5,0.92,0.98,0.95,0.85,0.11,0.55,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2356503979.60,5816530.04,1000000000.00,0.00,0.00,319043.47,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.1,90.0],[37.2,77.1],[83.4,59.6],[118.5,39.2],[127.5,19.0]]","[[4.1,53.5],[55.0,4.3],[469.3,2.5]]","[[0.0,1.0],[12.75,1.0],[12.75,1.0],[63.751,1.0],[63.751,1.0],[114.751,1.0],[114.751,1.0],[127.501,1.0],[1000000000.0,1.0]]","[[0.0,0.917],[58.201,0.917],[58.201,0.983],[281.749,0.983],[281.749,0.945],[475.16,0.945],[475.16,0.848],[508.316,0.848],[509.316,0.0]]",ESCAPE
Phase 1,7,5.3303,1.1,89.3,40.3,70.9,84.7,59.7,117.4,46.6,140.1,18.0,0.0,822.0,0.0,0.0,0.0,66.8,191.5,0.3,201.5,0.4,0.91,0.84,0.89,0.73,0.13,0.71,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1014914775.45,5665749.31,1000000000.00,0.00,0.00,439377.66,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.1,89.3],[40.3,70.9],[84.7,59.7],[117.4,46.6],[140.1,18.0]]","[[0.0,66.8],[191.5,0.3],[201.5,0.4]]","[[0.0,1.0],[14.006,1.0],[14.006,1.0],[70.028,1.0],[70.028,1.0],[126.051,1.0],[126.051,1.0],[140.057,1.0],[1000000000.0,1.0]]","[[0.0,0.91],[104.313,0.91],[104.313,0.84],[583.966,0.84],[583.966,0.886],[756.024,0.886],[756.024,0.728],[821.955,0.728],[822.955,0.0]]",ESCAPE
Phase 1,4,5.5340,2.9,88.5,51.8,73.5,76.5,58.9,117.4,37.2,129.9,29.1,7.4,1212.8,0.3,0.0,1.4,47.1,49.8,0.1,156.1,0.3,0.95,0.90,1.00,0.84,0.13,0.66,0.90,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1062634384.23,5814369.32,5951472.30,5951472.30,168188.98,251810.51,impact,-5531472.30,251811.02,0.774996,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.9,88.5],[51.8,73.5],[76.5,58.9],[117.4,37.2],[129.9,29.1]]","[[1.4,47.1],[49.8,0.1],[156.1,0.3]]","[[0.0,1.0],[12.986,1.0],[12.986,1.0],[64.931,1.0],[64.931,1.0],[116.875,1.0],[116.875,1.0],[129.862,1.0],[1000000000.0,1.0]]","[[0.0,0.952],[161.256,0.952],[161.256,0.898],[803.845,0.898],[803.845,0.999],[1089.613,0.999],[1089.613,0.842],[1212.765,0.842],[1213.765,0.0]]",CRASH
Phase 1,8,6.3663,0.6,87.7,45.7,78.0,86.3,40.0,119.8,44.2,130.2,29.0,0.2,872.8,0.4,0.0,4.1,41.8,43.7,6.6,198.6,0.7,0.89,0.98,0.89,0.91,0.16,0.63,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2743825360.07,5886903.14,1000000000.00,0.00,0.00,319142.79,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.6,87.7],[45.7,78.0],[86.3,40.0],[119.8,44.2],[130.2,29.0]]","[[4.1,41.8],[43.7,6.6],[198.6,0.7]]","[[0.0,1.0],[13.018,1.0],[13.018,1.0],[65.088,1.0],[65.088,1.0],[117.158,1.0],[117.158,1.0],[130.175,1.0],[1000000000.0,1.0]]","[[0.0,0.895],[143.83,0.895],[143.83,0.984],[551.268,0.984],[551.268,0.889],[800.729,0.889],[800.729,0.914],[872.774,0.914],[873.774,0.0]]",ESCAPE
Phase 1,16,5.9182,7.0,88.1,49.2,70.9,79.1,53.6,119.1,49.5,134.2,17.6,2.2,1087.8,4.9,0.0,0.9,74.3,119.9,0.3,401.9,0.7,0.99,1.00,0.78,0.72,0.13,0.68,0.91,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1057494957.57,5806203.95,1000000000.00,0.00,0.00,371717.71,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.0,88.1],[49.2,70.9],[79.1,53.6],[119.1,49.5],[134.2,17.6]]","[[0.9,74.3],[119.9,0.3],[401.9,0.7]]","[[0.0,1.0],[13.425,1.0],[13.425,1.0],[67.123,1.0],[67.123,1.0],[120.822,1.0],[120.822,1.0],[134.246,1.0],[1000000000.0,1.0]]","[[0.0,0.992],[141.884,0.992],[141.884,0.997],[742.54,0.997],[742.54,0.775],[992.297,0.775],[992.297,0.724],[1087.829,0.724],[1088.829,0.0]]",ESCAPE
Phase 1,10,5.0948,2.8,89.4,46.8,70.4,87.1,55.3,107.5,38.4,139.2,24.1,11.0,592.4,15.6,0.0,1.2,65.9,411.9,3.5,478.4,0.0,1.00,0.86,0.97,0.77,0.12,0.48,0.86,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1011291936.83,5648296.28,1000000000.00,0.00,0.00,779766.22,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.8,89.4],[46.8,70.4],[87.1,55.3],[107.5,38.4],[139.2,24.1]]","[[1.2,65.9],[411.9,3.5],[478.4,0.0]]","[[0.0,1.0],[13.915,1.0],[13.915,1.0],[69.576,1.0],[69.576,1.0],[125.237,1.0],[125.237,1.0],[139.153,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[70.601,1.0],[70.601,0.855],[285.685,0.855],[285.685,0.972],[508.658,0.972],[508.658,0.768],[592.404,0.768],[593.404,0.0]]",ESCAPE
