phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_pitch_time_3,upper_pitch_angle_3,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,eval_t_sim_s,eval_altitude_m,eval_speed_mps,eval_vr_mps,eval_fpa_deg,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 1,1,6.3524,7.7,89.3,32.5,67.2,84.0,46.6,117.4,44.2,131.6,30.0,7.9,115.7,20.5,0.0,0.7,55.4,210.2,0.9,302.1,5.4,440.3,1.4,0.90,0.90,0.89,0.83,0.12,0.47,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1068580845.49,4046677.09,6495053.02,6495053.02,135262.29,284776.42,224.000,229442.25,2470.335,957.934,22.816,,-6075053.02,284737.71,0.914856,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[7.7,89.3],[32.5,67.2],[84.0,46.6],[117.4,44.2],[131.6,30.0]]","[[0.7,55.4],[210.2,0.9],[302.1,5.4],[440.3,1.4]]","[[0.0,1.0],[13.158,1.0],[13.158,1.0],[65.791,1.0],[65.791,1.0],[118.423,1.0],[118.423,1.0],[131.581,1.0],[1000000000.0,1.0]]","[[0.0,0.897],[13.46,0.897],[13.46,0.899],[54.027,0.899],[54.027,0.887],[108.456,0.887],[108.456,0.829],[115.67,0.829],[116.67,0.0]]",SUBORBIT
Phase 1,5,5.9360,0.4,87.1,30.2,71.1,85.3,50.2,117.3,40.6,139.5,26.3,7.1,226.2,6.6,0.0,5.8,44.1,342.3,8.8,254.4,2.0,202.4,1.8,0.98,0.92,0.99,1.00,0.05,0.43,0.86,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1061062769.05,4820680.14,5819620.75,5819620.75,46940.77,467025.98,320.000,363391.15,4036.621,1158.985,16.685,,-5399620.75,466940.77,0.751226,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.4,87.1],[30.2,71.1],[85.3,50.2],[117.3,40.6],[139.5,26.3]]","[[5.8,44.1],[202.4,1.8],[254.4,2.0],[342.3,8.8]]","[[0.0,1.0],[13.951,1.0],[13.951,1.0],[69.755,1.0],[69.755,1.0],[125.559,1.0],[125.559,1.0],[139.51,1.0],[1000000000.0,1.0]]","[[0.0,0.983],[11.537,0.983],[11.537,0.917],[96.366,0.917],[96.366,0.994],[195.205,0.994],[195.205,0.997],[226.192,0.997],[227.192,0.0]]",SUBORBIT
Phase 1,2,6.4975,1.8,88.0,29.2,67.5,73.2,55.0,108.6,45.9,138.2,26.5,5.3,307.2,1.1,0.0,11.9,71.6,53.3,2.5,264.5,0.4,444.4,2.1,0.99,0.98,0.90,0.98,0.05,0.56,0.83,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1036435635.70,5308387.54,3571729.39,3571729.39,146612.40,270251.68,394.000,259821.30,6277.303,-291.678,-2.663,,-3151729.39,273387.60,0.347246,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.8,88.0],[29.2,67.5],[73.2,55.0],[108.6,45.9],[138.2,26.5]]","[[11.9,71.6],[53.3,2.5],[264.5,0.4],[444.4,2.1]]","[[0.0,1.0],[13.816,1.0],[13.816,1.0],[69.08,1.0],[69.08,1.0],[124.345,1.0],[124.345,1.0],[138.161,1.0],[1000000000.0,1.0]]","[[0.0,0.988],[15.536,0.988],[15.536,0.975],[173.378,0.975],[173.378,0.904],[253.896,0.904],[253.896,0.983],[307.151,0.983],[308.151,0.0]]",SUBORBIT
Phase 1,3,5.8808,0.3,90.0,35.5,80.7,70.3,63.0,117.1,47.5,144.0,23.5,0.1,765.5,2.2,0.0,6.2,72.2,160.4,0.8,463.4,0.3,324.3,3.8,0.94,0.90,1.00,0.89,0.05,0.59,0.86,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1004931346.87,5814677.94,1000000000.00,0.00,0.00,429923.95,545.000,429923.95,10835.901,369.535,1.954,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.3,90.0],[35.5,80.7],[70.3,63.0],[117.1,47.5],[144.0,23.5]]","[[6.2,72.2],[160.4,0.8],[324.3,3.8],[463.4,0.3]]","[[0.0,1.0],[14.404,1.0],[14.404,1.0],[72.021,1.0],[72.021,1.0],[129.639,1.0],[129.639,1.0],[144.043,1.0],[1000000000.0,1.0]]","[[0.0,0.94],[38.559,0.94],[38.559,0.896],[448.516,0.896],[448.516,1.0],[661.65,1.0],[661.65,0.886],[765.459,0.886],[766.459,0.0]]",ESCAPE
Phase 1,4,5.6855,1.1,89.6,39.0,66.1,85.3,63.9,117.3,38.9,136.7,28.5,0.3,670.0,2.2,0.0,0.2,64.5,40.0,0.0,414.0,0.1,362.9,0.8,0.93,1.00,0.97,0.80,0.20,0.41,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2491103395.46,5850441.03,1000000000.00,0.00,0.00,320758.80,570.000,159368.38,13332.308,550.169,2.365,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.1,89.6],[39.0,66.1],[85.3,63.9],[117.3,38.9],[136.7,28.5]]","[[0.2,64.5],[40.0,0.0],[362.9,0.8],[414.0,0.1]]","[[0.0,1.0],[13.667,1.0],[13.667,1.0],[68.334,1.0],[68.334,1.0],[123.001,1.0],[123.001,1.0],[136.668,1.0],[1000000000.0,1.0]]","[[0.0,0.929],[133.779,0.929],[133.779,0.997],[277.472,0.997],[277.472,0.972],[633.276,0.972],[633.276,0.801],[669.971,0.801],[670.971,0.0]]",ESCAPE
Phase 1,7,6.4972,0.0,90.0,38.0,77.5,76.8,53.0,116.1,36.4,146.3,19.2,0.1,264.1,9.5,0.0,8.5,65.7,93.3,0.7,174.7,0.5,247.3,0.0,0.89,0.88,0.98,0.93,0.10,0.49,0.90,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1057048071.59,4971557.35,5448026.76,5448026.76,119777.21,300214.26,353.000,299673.47,4476.015,-80.885,-1.035,,-5028026.76,300222.79,0.664851,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.0,90.0],[38.0,77.5],[76.8,53.0],[116.1,36.4],[146.3,19.2]]","[[8.5,65.7],[93.3,0.7],[174.7,0.5],[247.3,0.0]]","[[0.0,1.0],[14.632,1.0],[14.632,1.0],[73.159,1.0],[73.159,1.0],[131.687,1.0],[131.687,1.0],[146.319,1.0],[1000000000.0,1.0]]","[[0.0,0.89],[27.044,0.89],[27.044,0.885],[128.477,0.885],[128.477,0.982],[237.446,0.982],[237.446,0.925],[264.136,0.925],[265.136,0.0]]",SUBORBIT
Phase 1,8,6.2058,0.1,86.1,32.5,71.6,87.8,49.5,107.3,45.6,139.1,18.3,5.1,475.4,12.0,0.0,6.0,32.7,80.0,8.7,281.5,4.8,370.2,6.7,0.82,0.91,0.93,1.00,0.17,0.74,0.91,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1710532363.11,5835417.75,1000000000.00,0.00,0.00,319247.40,573.000,263857.77,12022.671,823.587,3.928,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.1,86.1],[32.5,71.6],[87.8,49.5],[107.3,45.6],[139.1,18.3]]","[[6.0,32.7],[80.0,8.7],[281.5,4.8],[370.2,6.7]]","[[0.0,1.0],[13.906,1.0],[13.906,1.0],[69.531,1.0],[69.531,1.0],[125.156,1.0],[125.156,1.0],[139.062,1.0],[1000000000.0,1.0]]","[[0.0,0.816],[78.605,0.816],[78.605,0.914],[353.236,0.914],[353.236,0.926],[433.008,0.926],[433.008,1.0],[475.413,1.0],[476.413,0.0]]",ESCAPE
Phase 1,6,6.4999,0.0,88.8,37.2,70.2,86.0,54.5,119.0,34.9,130.3,27.3,6.2,478.9,0.8,0.0,7.0,58.9,75.6,6.4,236.3,0.8,525.0,1.3,0.92,0.88,0.85,0.96,0.22,0.75,0.77,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1571063935.68,5829806.67,1000000000.00,0.00,0.00,319188.16,565.000,242817.93,11804.480,226.976,1.102,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.0,88.8],[37.2,70.2],[86.0,54.5],[119.0,34.9],[130.3,27.3]]","[[7.0,58.9],[75.6,6.4],[236.3,0.8],[525.0,1.3]]","[[0.0,1.0],[13.031,1.0],[13.031,1.0],[65.157,1.0],[65.157,1.0],[117.283,1.0],[117.283,1.0],[130.314,1.0],[1000000000.0,1.0]]","[[0.0,0.917],[104.558,0.917],[104.558,0.88],[359.045,0.88],[359.045,0.848],[368.215,0.848],[368.215,0.956],[478.856,0.956],[479.856,0.0]]",ESCAPE
Phase 1,12,5.6879,0.6,89.1,32.2,72.1,74.5,65.6,116.0,44.1,142.2,17.2,0.1,50.1,1.4,0.0,19.2,68.3,57.4,4.9,237.0,4.0,644.4,2.0,0.95,0.85,0.93,0.99,0.14,0.32,0.90,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1070615057.25,3648777.75,6679014.94,6679014.94,145892.93,274197.46,130.000,141346.27,2105.683,1537.459,46.899,,-6259014.94,274107.07,0.966854,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.6,89.1],[32.2,72.1],[74.5,65.6],[116.0,44.1],[142.2,17.2]]","[[19.2,68.3],[57.4,4.9],[237.0,4.0],[644.4,2.0]]","[[0.0,1.0],[14.221,1.0],[14.221,1.0],[71.105,1.0],[71.105,1.0],[127.989,1.0],[127.989,1.0],[142.21,1.0],[1000000000.0,1.0]]","[[0.0,0.947],[6.843,0.947],[6.843,0.855],[15.967,0.855],[15.967,0.925],[44.963,0.925],[44.963,0.994],[50.133,0.994],[51.133,0.0]]",SUBORBIT
Phase 1,13,6.0613,0.7,89.4,38.5,72.3,73.4,50.2,119.2,35.4,144.7,23.3,8.5,73.3,6.5,0.0,0.0,43.6,231.8,0.1,252.5,2.7,201.5,0.1,0.70,0.94,0.91,0.85,0.18,0.54,0.94,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1069716312.81,3800023.47,6595837.68,6595837.68,162098.33,257955.98,168.000,177981.67,2215.169,1176.072,32.067,,-6175837.68,257901.67,0.942802,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.7,89.4],[38.5,72.3],[73.4,50.2],[119.2,35.4],[144.7,23.3]]","[[0.0,43.6],[201.5,0.1],[231.8,0.1],[252.5,2.7]]","[[0.0,1.0],[14.471,1.0],[14.471,1.0],[72.355,1.0],[72.355,1.0],[130.24,1.0],[130.24,1.0],[144.711,1.0],[1000000000.0,1.0]]","[[0.0,0.698],[12.878,0.698],[12.878,0.942],[39.32,0.942],[39.32,0.909],[68.77,0.909],[68.77,0.846],[73.344,0.846],[74.344,0.0]]",SUBORBIT
