phase,iteration,meco_mach,pitch_time_0,pitch_angle_0,pitch_time_1,pitch_angle_1,pitch_time_2,pitch_angle_2,pitch_time_3,pitch_angle_3,pitch_time_4,pitch_angle_4,coast_s,upper_burn_s,upper_ignition_delay_s,azimuth_deg,upper_pitch_time_0,upper_pitch_angle_0,upper_pitch_time_1,upper_pitch_angle_1,upper_pitch_time_2,upper_pitch_angle_2,upper_throttle_level_0,upper_throttle_level_1,upper_throttle_level_2,upper_throttle_level_3,upper_throttle_switch_ratio_0,upper_throttle_switch_ratio_1,upper_throttle_switch_ratio_2,booster_throttle_level_0,booster_throttle_level_1,booster_throttle_level_2,booster_throttle_level_3,booster_throttle_switch_ratio_0,booster_throttle_switch_ratio_1,booster_throttle_switch_ratio_2,cost,fuel,orbit_error,perigee_error_m,apoapsis_error_m,max_altitude_m,cutoff_reason,perigee_alt_m,apoapsis_alt_m,eccentricity,fuel_main_kg,fuel_circ_kg,fuel_total_kg,circ_dv_mps,circ_applied,perigee_alt_pre_circ_m,apoapsis_alt_pre_circ_m,eccentricity_pre_circ,orbit_error_pre_circ_m,status_pre_circ,booster_pitch_program_sorted,upper_pitch_program_sorted,booster_throttle_schedule,upper_throttle_schedule,status
Phase 1,7,5.6711,0.1,89.8,34.2,71.3,78.8,46.1,116.6,30.5,149.9,24.6,3.4,58.9,6.5,0.0,7.1,69.7,182.2,2.8,150.6,0.1,0.89,1.00,0.76,0.87,0.16,0.57,0.86,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1070221469.72,3681107.77,6641771.36,6641771.36,161984.81,258086.99,,-6221771.36,258015.19,0.955968,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.1,89.8],[34.2,71.3],[78.8,46.1],[116.6,30.5],[149.9,24.6]]","[[7.1,69.7],[150.6,0.1],[182.2,2.8]]","[[0.0,1.0],[14.994,1.0],[14.994,1.0],[74.969,1.0],[74.969,1.0],[134.945,1.0],[134.945,1.0],[149.938,1.0],[1000000000.0,1.0]]","[[0.0,0.894],[9.702,0.894],[9.702,0.999],[33.726,0.999],[33.726,0.763],[50.7,0.763],[50.7,0.87],[58.927,0.87],[59.927,0.0]]",SUBORBIT
Phase 1,1,4.6559,2.7,90.0,43.7,63.5,89.9,48.9,119.7,40.1,149.7,22.3,1.7,573.2,19.4,0.0,14.0,58.3,55.5,1.5,301.4,3.1,1.00,0.92,1.00,0.91,0.09,0.49,0.87,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1067343060.96,5093454.28,6371639.08,6371639.08,255031.08,164968.90,impact,-5951639.08,164968.92,0.879413,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.7,90.0],[43.7,63.5],[89.9,48.9],[119.7,40.1],[149.7,22.3]]","[[14.0,58.3],[55.5,1.5],[301.4,3.1]]","[[0.0,1.0],[14.968,1.0],[14.968,1.0],[74.842,1.0],[74.842,1.0],[134.716,1.0],[134.716,1.0],[149.684,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[53.2,1.0],[53.2,0.916],[282.263,0.916],[282.263,1.0],[501.262,1.0],[501.262,0.905],[573.197,0.905],[574.197,0.0]]",CRASH
Phase 1,2,6.2321,0.0,87.6,38.1,75.4,80.5,44.8,119.9,43.0,123.8,19.4,1.2,247.5,0.0,0.0,6.0,41.6,237.4,0.2,170.5,3.4,1.00,0.95,1.00,0.99,0.13,0.55,0.85,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1057186004.27,4938344.38,5466985.16,5466985.16,49167.54,370858.14,,-5046985.16,370832.46,0.671699,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.0,87.6],[38.1,75.4],[80.5,44.8],[119.9,43.0],[123.8,19.4]]","[[6.0,41.6],[170.5,3.4],[237.4,0.2]]","[[0.0,1.0],[12.385,1.0],[12.385,1.0],[61.924,1.0],[61.924,1.0],[111.462,1.0],[111.462,1.0],[123.847,1.0],[1000000000.0,1.0]]","[[0.0,0.998],[32.757,0.998],[32.757,0.948],[136.278,0.948],[136.278,0.999],[209.283,0.999],[209.283,0.994],[247.524,0.994],[248.524,0.0]]",SUBORBIT
Phase 1,3,6.4877,0.2,90.0,40.0,62.3,85.7,55.0,119.8,40.7,137.7,29.7,5.1,875.7,5.6,0.0,1.1,54.2,50.8,13.9,337.3,3.4,0.99,0.90,1.00,0.80,0.18,0.49,0.91,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1092311271.29,5788269.20,1000000000.00,0.00,0.00,335857.17,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.2,90.0],[40.0,62.3],[85.7,55.0],[119.8,40.7],[137.7,29.7]]","[[1.1,54.2],[50.8,13.9],[337.3,3.4]]","[[0.0,1.0],[13.77,1.0],[13.77,1.0],[68.85,1.0],[68.85,1.0],[123.931,1.0],[123.931,1.0],[137.701,1.0],[1000000000.0,1.0]]","[[0.0,0.991],[156.186,0.991],[156.186,0.899],[425.839,0.899],[425.839,0.998],[794.523,0.998],[794.523,0.798],[875.669,0.798],[876.669,0.0]]",ESCAPE
Phase 1,6,5.4488,1.2,88.0,41.2,79.3,73.8,52.1,115.8,38.5,139.8,25.5,6.5,922.8,2.4,0.0,1.4,59.0,158.6,2.8,311.1,0.7,0.99,0.98,0.91,0.92,0.07,0.52,0.95,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1052374604.76,5740962.97,1000000000.00,0.00,0.00,379070.39,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[1.2,88.0],[41.2,79.3],[73.8,52.1],[115.8,38.5],[139.8,25.5]]","[[1.4,59.0],[158.6,2.8],[311.1,0.7]]","[[0.0,1.0],[13.982,1.0],[13.982,1.0],[69.909,1.0],[69.909,1.0],[125.835,1.0],[125.835,1.0],[139.817,1.0],[1000000000.0,1.0]]","[[0.0,0.993],[66.166,0.993],[66.166,0.984],[481.787,0.984],[481.787,0.907],[876.043,0.907],[876.043,0.921],[922.841,0.921],[923.841,0.0]]",ESCAPE
Phase 1,5,5.5080,0.5,88.4,35.3,64.3,83.6,53.1,112.5,50.0,137.1,29.9,0.3,484.0,5.0,0.0,2.3,50.5,53.4,5.1,302.4,0.5,0.97,0.92,0.87,0.91,0.18,0.76,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,2161418396.41,5776461.59,1000000000.00,0.00,0.00,320491.69,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[0.5,88.4],[35.3,64.3],[83.6,53.1],[112.5,50.0],[137.1,29.9]]","[[2.3,50.5],[53.4,5.1],[302.4,0.5]]","[[0.0,1.0],[13.706,1.0],[13.706,1.0],[68.531,1.0],[68.531,1.0],[123.357,1.0],[123.357,1.0],[137.063,1.0],[1000000000.0,1.0]]","[[0.0,0.973],[86.086,0.973],[86.086,0.92],[367.59,0.92],[367.59,0.869],[451.227,0.869],[451.227,0.913],[484.019,0.913],[485.019,0.0]]",ESCAPE
Phase 1,4,5.3311,6.4,88.0,55.9,72.4,72.8,56.3,112.2,35.5,129.5,29.2,0.1,450.1,1.5,0.0,18.7,72.3,155.5,0.9,525.9,0.9,1.00,0.99,0.90,0.88,0.16,0.39,0.90,1.00,1.00,1.00,1.00,0.10,0.50,0.90,687664003.21,5711358.69,687661513.39,2489.82,687661513.39,684974.55,,417510.18,688081513.39,0.980639,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.4,88.0],[55.9,72.4],[72.8,56.3],[112.2,35.5],[129.5,29.2]]","[[18.7,72.3],[155.5,0.9],[525.9,0.9]]","[[0.0,1.0],[12.946,1.0],[12.946,1.0],[64.732,1.0],[64.732,1.0],[116.517,1.0],[116.517,1.0],[129.463,1.0],[1000000000.0,1.0]]","[[0.0,1.0],[71.579,1.0],[71.579,0.99],[174.609,0.99],[174.609,0.9],[405.032,0.9],[405.032,0.876],[450.128,0.876],[451.128,0.0]]",OK
Phase 1,8,5.7658,4.8,89.9,31.6,68.7,87.2,58.0,103.5,42.5,145.5,15.4,12.4,346.7,4.1,0.0,1.2,49.5,276.7,10.7,158.5,0.5,0.99,0.99,0.77,0.90,0.08,0.42,0.88,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1040790110.75,5303997.34,3973758.72,3973758.72,78764.82,498821.67,,-3553758.72,498764.82,0.418346,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[4.8,89.9],[31.6,68.7],[87.2,58.0],[103.5,42.5],[145.5,15.4]]","[[1.2,49.5],[158.5,0.5],[276.7,10.7]]","[[0.0,1.0],[14.547,1.0],[14.547,1.0],[72.736,1.0],[72.736,1.0],[130.925,1.0],[130.925,1.0],[145.472,1.0],[1000000000.0,1.0]]","[[0.0,0.993],[27.171,0.993],[27.171,0.987],[145.028,0.987],[145.028,0.766],[305.397,0.766],[305.397,0.899],[346.68,0.899],[347.68,0.0]]",SUBORBIT
Phase 1,10,5.5193,6.5,88.7,31.9,69.4,82.1,56.6,118.0,33.1,141.4,20.1,0.1,110.1,15.8,0.0,8.3,64.6,198.7,6.7,443.0,1.3,0.83,0.96,1.00,0.64,0.10,0.55,0.92,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1069409039.13,3973923.95,6573904.41,6573904.41,96090.63,323974.61,,-6153904.41,323909.37,0.937183,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[6.5,88.7],[31.9,69.4],[82.1,56.6],[118.0,33.1],[141.4,20.1]]","[[8.3,64.6],[198.7,6.7],[443.0,1.3]]","[[0.0,1.0],[14.14,1.0],[14.14,1.0],[70.702,1.0],[70.702,1.0],[127.264,1.0],[127.264,1.0],[141.404,1.0],[1000000000.0,1.0]]","[[0.0,0.833],[10.923,0.833],[10.923,0.959],[60.258,0.959],[60.258,0.998],[101.487,0.998],[101.487,0.643],[110.088,0.643],[111.088,0.0]]",SUBORBIT
Phase 1,9,5.8832,2.2,89.0,31.5,74.9,76.4,52.2,107.3,42.5,142.2,3.4,0.7,526.5,3.9,0.0,1.6,65.4,211.5,0.3,213.0,4.0,0.98,0.95,0.84,1.00,0.06,0.56,0.93,1.00,1.00,1.00,1.00,0.10,0.50,0.90,1001729358.54,5805233.44,1000000000.00,0.00,0.00,487483.47,escape,nan,nan,nan,nan,nan,nan,nan,,nan,nan,nan,nan,,"[[2.2,89.0],[31.5,74.9],[76.4,52.2],[107.3,42.5],[142.2,3.4]]","[[1.6,65.4],[211.5,0.3],[213.0,4.0]]","[[0.0,1.0],[14.219,1.0],[14.219,1.0],[71.097,1.0],[71.097,1.0],[127.975,1.0],[127.975,1.0],[142.194,1.0],[1000000000.0,1.0]]","[[0.0,0.981],[33.162,0.981],[33.162,0.953],[293.214,0.953],[293.214,0.843],[488.616,0.843],[488.616,1.0],[526.502,1.0],[527.502,0.0]]",ESCAPE
