# t_sim_s,t_env_s,alt_m,speed_mps,mass_kg,stage,thrust_N,drag_N,mdot_kgps,q_Pa,rho_kgpm3,mach,fpa_deg,v_vertical_mps,v_horizontal_mps,specific_energy_Jpkg,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps
0.000,818705410.964,0.000,407.861,4975000.000,0,0.000,0.000,0.000000,0.000,1.225000e+00,0.000,-0.000,-0.000,407.861,-62481640.401,913094.959,-5518147.558,3050564.887,402.390,66.584,-0.000
1.000,818705411.964,0.000,407.928,4971179.962,0,24500000.000,320.192,-7640.075602,32.962,1.225000e+00,0.022,-1.030,-7.336,407.862,-62481653.440,913496.763,-5518077.433,3050562.922,401.335,72.954,-3.537
2.000,818705412.964,0.000,407.978,4959719.849,0,49000000.000,566.992,-15280.151204,58.034,1.225000e+00,0.029,-1.367,-9.734,407.862,-62481720.606,913897.866,-5518003.075,3050558.601,400.989,75.047,-4.709
3.000,818705413.964,0.000,407.926,4940619.660,0,73500000.000,304.890,-22920.226805,31.400,1.225000e+00,0.021,-1.006,-7.159,407.863,-62481829.155,914298.978,-5517928.774,3050554.297,401.356,72.834,-3.501
4.000,818705414.964,0.000,407.868,4917699.433,0,73500000.000,24.695,-22920.226805,2.575,1.225000e+00,0.006,-0.288,-2.047,407.863,-62481897.831,914700.698,-5517858.140,3050552.005,402.087,68.423,-1.077
5.000,818705415.964,0.000,407.875,4894779.206,0,73500000.000,57.976,-22920.226805,6.029,1.225000e+00,0.009,0.440,3.134,407.863,-62481889.746,915103.155,-5517791.949,3050552.153,402.828,63.951,1.379
6.000,818705416.964,0.000,407.949,4871858.979,0,73500000.000,419.687,-22920.226805,43.095,1.225000e+00,0.025,1.178,8.386,407.863,-62481803.130,915506.358,-5517730.259,3050554.775,403.580,59.419,3.870
7.000,818705417.964,0.000,408.092,4848938.753,0,73500000.000,1135.624,-22920.226805,115.140,1.225000e+00,0.040,1.925,13.709,407.862,-62481636.173,915910.318,-5517673.132,3050559.904,404.342,54.825,6.394
8.000,818705418.964,7.236,408.308,4826018.734,0,73500428.831,2231.656,-22918.977949,223.409,1.224149e+00,0.056,2.682,19.104,407.861,-62481387.037,916315.046,-5517620.630,3050567.575,405.115,50.169,8.953
9.000,818705419.964,29.068,408.599,4803101.559,0,73501720.724,3730.949,-22915.216560,368.781,1.221585e+00,0.072,3.447,24.571,407.860,-62481053.839,916720.552,-5517572.814,3050577.822,405.899,45.451,11.546
10.000,818705420.964,56.402,408.968,4780188.613,0,73503334.452,5659.854,-22910.520059,552.359,1.218381e+00,0.089,4.222,30.110,407.858,-62480634.663,917126.848,-5517529.749,3050590.680,406.694,40.670,14.175
11.000,818705421.964,89.313,409.417,4757280.832,0,73505271.767,8043.623,-22904.884623,775.044,1.214531e+00,0.105,5.006,35.724,407.856,-62480127.552,917533.943,-5517491.496,3050606.183,407.499,35.825,16.838
12.000,818705422.964,127.874,409.950,4734379.157,0,73507533.894,10907.284,-22898.308229,1037.628,1.210033e+00,0.122,5.798,41.412,407.853,-62479530.514,917941.850,-5517458.121,3050624.368,408.316,30.915,19.538
13.000,818705423.964,172.161,410.570,4711484.529,0,73510121.512,14275.511,-22890.790701,1340.780,1.204882e+00,0.139,6.598,47.175,407.850,-62478841.518,918350.578,-5517429.688,3050645.270,409.144,25.941,22.273
