# t_sim_s,t_env_s,alt_m,speed_mps,mass_kg,stage,thrust_N,drag_N,mdot_kgps,q_Pa,rho_kgpm3,mach,fpa_deg,v_vertical_mps,v_horizontal_mps,specific_energy_Jpkg,pos_x_m,pos_y_m,pos_z_m,vel_x_mps,vel_y_mps,vel_z_mps
0.000,0.000,0.000,417.562,6250000.000,0,152000000.000,0.000,-46968.746780,0.000,1.225000e+00,0.000,0.000,0.000,417.562,-62477636.686,-697850.290,-5683534.517,2792862.576,414.450,-50.888,0.000
0.250,0.250,0.450,418.278,6238257.826,0,152000000.000,128.321,-46968.596857,8.233,1.224948e+00,0.011,0.493,3.599,418.263,-62477333.061,-697746.640,-5683547.650,2792862.773,414.752,-54.176,1.577
0.500,0.500,1.800,419.027,6226515.727,0,152000000.000,514.818,-46968.146460,33.029,1.224790e+00,0.022,0.986,7.209,418.965,-62477006.536,-697642.914,-5683561.606,2792863.365,415.054,-57.475,3.160
0.750,0.750,4.055,419.807,6214773.778,0,152000000.000,1161.705,-46967.394656,74.531,1.224528e+00,0.032,1.478,10.830,419.668,-62476656.955,-697539.113,-5683576.388,2792864.354,415.356,-60.784,4.747
1.000,1.000,7.217,420.621,6203032.054,0,152000000.000,2071.075,-46966.340517,132.873,1.224159e+00,0.043,1.971,14.464,420.372,-62476284.162,-697435.236,-5683591.999,2792865.739,415.659,-64.103,6.340
1.250,1.250,11.288,421.467,6191290.633,0,152000000.000,3244.899,-46964.983129,208.181,1.223685e+00,0.054,2.462,18.108,421.077,-62475887.998,-697331.283,-5683608.440,2792867.524,415.961,-67.433,7.937
1.500,1.500,16.272,422.345,6179549.588,0,152000000.000,4685.022,-46963.321582,300.574,1.223104e+00,0.065,2.954,21.764,421.784,-62475468.306,-697227.255,-5683625.716,2792869.708,416.264,-70.773,9.540
1.750,1.750,22.171,423.257,6167808.997,0,152000000.000,6393.161,-46961.354978,410.162,1.222417e+00,0.076,3.445,25.432,422.492,-62475024.927,-697123.151,-5683643.828,2792872.294,416.567,-74.124,11.147
2.000,2.000,28.988,424.202,6156068.936,0,152000000.000,8370.904,-46959.082430,537.047,1.221622e+00,0.087,3.935,29.111,423.201,-62474557.698,-697018.972,-5683662.779,2792875.282,416.870,-77.485,12.760
2.250,2.250,36.727,425.179,6144329.482,0,152000000.000,10619.702,-46956.503057,681.322,1.220721e+00,0.098,4.425,32.802,423.912,-62474066.460,-696914.717,-5683682.571,2792878.674,417.173,-80.856,14.377
